hood_id,neighbourhood_cleansed,district
129,Agincourt North,Scarborough
128,Agincourt South-Malvern West,Scarborough
20,Alderwood,Etobicoke
95,Annex,Old City of Toronto
42,Banbury-Don Mills,North York
34,Bathurst Manor,North York
76,Bay Street Corridor,Old City of Toronto
52,Bayview Village,North York
49,Bayview Woods-Steeles,North York
39,Bedford Park-Nortown,North York
112,Beechborough-Greenbrook,York
127,Bendale,Scarborough
122,Birchcliffe-Cliffside,Scarborough
24,Black Creek,North York
69,Blake-Jones,Old City of Toronto
108,Briar Hill-Belgravia,York
41,Bridle Path-Sunnybrook-York Mills,North York
57,Broadview North,East York
30,Brookhaven-Amesbury,North York
71,Cabbagetown-South St.James Town,Old City of Toronto
109,Caledonia-Fairbank,York
96,Casa Loma,Old City of Toronto
133,Centennial Scarborough,Scarborough
75,Church-Yonge Corridor,Old City of Toronto
120,Clairlea-Birchmount,Scarborough
33,Clanton Park,North York
123,Cliffcrest,Scarborough
92,Corso Italia-Davenport,Old City of Toronto
61,Taylor-Massey,East York
66,Danforth,Old City of Toronto
59,Danforth East York,East York
47,Don Valley Village,North York
126,Dorset Park,Scarborough
93,Dovercourt-Wallace Emerson-Junction,Old City of Toronto
26,Downsview-Roding-CFB,North York
83,Dufferin Grove,Old City of Toronto
62,East End-Danforth,Old City of Toronto
9,Edenbridge-Humber Valley,Etobicoke
138,Eglinton East,Scarborough
5,Elms-Old Rexdale,Etobicoke
32,Englemount-Lawrence,North York
11,Eringate-Centennial-West Deane,Etobicoke
13,Etobicoke West Mall,Etobicoke
44,Flemingdon Park,North York
102,Forest Hill North,Old City of Toronto
101,Forest Hill South,Old City of Toronto
25,Glenfield-Jane Heights,North York
65,Greenwood-Coxwell,Old City of Toronto
140,Guildwood,Scarborough
53,Henry Farm,North York
88,High Park North,Old City of Toronto
87,High Park-Swansea,Old City of Toronto
134,Highland Creek,Scarborough
48,Hillcrest Village,North York
8,Humber Heights-Westmount,Etobicoke
21,Humber Summit,North York
22,Humbermede,North York
106,Humewood-Cedarvale,York
125,Ionview,Scarborough
14,Islington-City Centre West,Etobicoke
90,Junction Area,Old City of Toronto
110,Keelesdale-Eglinton West,York
124,Kennedy Park,Scarborough
78,Kensington-Chinatown,Old City of Toronto
6,Kingsview Village-The Westway,Etobicoke
15,Kingsway South,Etobicoke
114,Lambton Baby Point,York
117,L'Amoreaux,Scarborough
38,Lansing-Westgate,North York
105,Lawrence Park North,Old City of Toronto
103,Lawrence Park South,Old City of Toronto
56,Leaside-Bennington,East York
84,Little Portugal,Old City of Toronto
19,Long Branch,Etobicoke
132,Malvern,Scarborough
29,Maple Leaf,North York
12,Markland Wood,Etobicoke
130,Milliken,Scarborough
17,Mimico (includes Humber Bay Shores),Etobicoke
135,Morningside,Scarborough
73,Moss Park,Old City of Toronto
115,Mount Dennis,York
2,Mount Olive-Silverstone-Jamestown,Etobicoke
99,Mount Pleasant East,Old City of Toronto
104,Mount Pleasant West,Old City of Toronto
18,New Toronto,Etobicoke
50,Newtonbrook East,North York
36,Newtonbrook West,North York
82,Niagara,Old City of Toronto
68,North Riverdale,Old City of Toronto
74,North St.James Town,Old City of Toronto
121,Oakridge,Scarborough
107,Oakwood Village,York
54,O'Connor-Parkview,East York
58,Old East York,East York
80,Palmerston-Little Italy,Old City of Toronto
45,Parkwoods-Donalda,North York
23,Pelmo Park-Humberlea,North York
67,Playter Estates-Danforth,Old City of Toronto
46,Pleasant View,North York
10,Princess-Rosethorn,Etobicoke
72,Regent Park,Old City of Toronto
4,Rexdale-Kipling,Etobicoke
111,Rockcliffe-Smythe,York
86,Roncesvalles,Old City of Toronto
98,Rosedale-Moore Park,Old City of Toronto
131,Rouge,Scarborough
89,Runnymede-Bloor West Village,Old City of Toronto
28,Rustic,North York
139,Scarborough Village,Scarborough
85,South Parkdale,Old City of Toronto
70,South Riverdale,Old City of Toronto
40,St.Andrew-Windfields,North York
116,Steeles,Scarborough
16,Stonegate-Queensway,Etobicoke
118,Tam O'Shanter-Sullivan,Scarborough
63,The Beaches,Old City of Toronto
3,Thistletown-Beaumond Heights,Etobicoke
55,Thorncliffe Park,East York
81,Trinity-Bellwoods,Old City of Toronto
79,University,Old City of Toronto
43,Victoria Village,North York
77,Waterfront Communities-The Island,Old City of Toronto
136,West Hill,Scarborough
1,West Humber-Clairville,Etobicoke
35,Westminster-Branson,North York
113,Weston,York
91,Weston-Pellam Park,Old City of Toronto
119,Wexford/Maryvale,Scarborough
51,Willowdale East,North York
37,Willowdale West,North York
7,Willowridge-Martingrove-Richview,Etobicoke
137,Woburn,Scarborough
64,Woodbine Corridor,Old City of Toronto
60,Woodbine-Lumsden,East York
94,Wychwood,Old City of Toronto
100,Yonge-Eglinton,Old City of Toronto
97,Yonge-St.Clair,Old City of Toronto
27,York University Heights,North York
31,Yorkdale-Glen Park,North York
